cancer_type,method_a,method_b,common_gene_count,top_k,top_k_a_count,top_k_b_count,top_k_overlap_count,top_k_jaccard,top_k_direction_concordance,universe_direction_concordance,regulated_union_gene_count,regulated_direction_concordance,spearman_abs_effect,median_abs_effect_delta,agreement_tier,evaluation_caveat
TCGA-BRCA,gtex_native,recount3_uniform,36004,25,25,25,5,0.111111,1.0,0.79394,11476,0.35352,0.706826,0.239971,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,tcga_adjacent,36004,25,25,25,3,0.06383,1.0,0.83849,7317,0.205275,0.801923,0.090479,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,tcga_adjacent,recount3_uniform,36004,25,25,25,6,0.136364,1.0,0.781497,9740,0.1923,0.659136,0.245874,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,recount3_uniform,36004,50,50,50,9,0.098901,1.0,0.79394,11476,0.35352,0.706826,0.239971,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,tcga_adjacent,36004,50,50,50,7,0.075269,1.0,0.83849,7317,0.205275,0.801923,0.090479,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,tcga_adjacent,recount3_uniform,36004,50,50,50,16,0.190476,1.0,0.781497,9740,0.1923,0.659136,0.245874,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,recount3_uniform,36004,100,100,100,27,0.156069,1.0,0.79394,11476,0.35352,0.706826,0.239971,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,tcga_adjacent,36004,100,100,100,19,0.104972,1.0,0.83849,7317,0.205275,0.801923,0.090479,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,tcga_adjacent,recount3_uniform,36004,100,100,100,36,0.219512,1.0,0.781497,9740,0.1923,0.659136,0.245874,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,recount3_uniform,36004,250,250,250,78,0.184834,1.0,0.79394,11476,0.35352,0.706826,0.239971,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,gtex_native,tcga_adjacent,36004,250,250,250,69,0.160093,1.0,0.83849,7317,0.205275,0.801923,0.090479,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-BRCA,tcga_adjacent,recount3_uniform,36004,250,250,250,90,0.219512,1.0,0.781497,9740,0.1923,0.659136,0.245874,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,recount3_uniform,36004,25,25,25,8,0.190476,1.0,0.779191,13169,0.39631,0.748199,0.237635,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,tcga_adjacent,36004,25,25,25,1,0.020408,1.0,0.818937,8002,0.185329,0.812312,0.088788,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,tcga_adjacent,recount3_uniform,36004,25,25,25,1,0.020408,1.0,0.695812,12507,0.12433,0.618475,0.293493,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
