cancer_type,ablation_scenario,omitted_components,retained_weight,common_gene_count,top_k,top_k_overlap_count,top_k_jaccard,spearman_consensus_score,median_baseline_top_k_rank_shift,median_absolute_score_delta,max_absolute_score_delta,baseline_prioritized_count,fixed_threshold_retained_count,fixed_threshold_retention_rate,sensitivity_tier,evaluation_caveat
TCGA-BRCA,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36092,25,1,0.020408,0.67159,51.0,0.193867,0.373299,90,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_external_validation,external_component,0.85,36092,25,14,0.388889,0.886049,16.0,0.098609,0.134638,90,12,0.133333,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_paired_support,paired_component,0.8,36092,25,20,0.666667,0.779957,6.0,0.063203,0.167257,90,5,0.055556,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_reference_triangulation,reference_component,0.9,36092,25,9,0.219512,0.942279,28.0,0.064844,0.094201,90,54,0.6,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36092,50,14,0.162791,0.67159,50.5,0.193867,0.373299,90,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_external_validation,external_component,0.85,36092,50,34,0.515152,0.886049,16.5,0.098609,0.134638,90,12,0.133333,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_paired_support,paired_component,0.8,36092,50,44,0.785714,0.779957,7.0,0.063203,0.167257,90,5,0.055556,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_reference_triangulation,reference_component,0.9,36092,50,21,0.265823,0.942279,29.5,0.064844,0.094201,90,54,0.6,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36092,100,67,0.503759,0.67159,50.0,0.193867,0.373299,90,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_external_validation,external_component,0.85,36092,100,85,0.73913,0.886049,19.0,0.098609,0.134638,90,12,0.133333,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_paired_support,paired_component,0.8,36092,100,93,0.869159,0.779957,8.0,0.063203,0.167257,90,5,0.055556,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
