node_id,node_label,name,primary_site,source
TCGA-BRCA,CancerType,TCGA-BRCA,Unknown,TCGA
TCGA-COAD,CancerType,TCGA-COAD,Unknown,TCGA
TCGA-LUAD,CancerType,TCGA-LUAD,Unknown,TCGA
DATASET:GTEX,Dataset,GTEx,Multi,GTEx
DATASET:TCGA,Dataset,TCGA,Multi,TCGA
GENE:EGFR,Gene,EGFR,Unknown,TCGA/GTEx
GENE:KRAS,Gene,KRAS,Unknown,TCGA/GTEx
GENE:TP53,Gene,TP53,Unknown,TCGA/GTEx
TISSUE:Breast - Mammary Tissue,Tissue,Breast - Mammary Tissue,Breast - Mammary Tissue,GTEx
TISSUE:Colon - Sigmoid,Tissue,Colon - Sigmoid,Colon - Sigmoid,GTEx
TISSUE:Colon - Transverse,Tissue,Colon - Transverse,Colon - Transverse,GTEx
TISSUE:Lung,Tissue,Lung,Lung,GTEx
